name,ticker,similarity_score,market_cap_formatted,exchange,SIC_industry,customer_segment,business_activity,url
"The Hackett Group, Inc.",HCKT,0.52,508.12M,NMS,Information Technology Services,Technology,"The Hackett Group, Inc. operates as an intellectual property platform-based generative artificial intelligence strategic consulting and executive advisory digital transformation in the United States, Europe, and internationally. The company offers Hackett Connect, an online searchable repository of practices, performance metrics, conference presentations, and associated research; Best Practice Accelerators, a dedicated web-based access to practices, customized software configuration tools, and practice process flows; Advisor Inquiry for access to fact-based advice on proven approaches and methods; research and insight derived from Hackett benchmark, performance, and transformation studies; Peer Interaction, a regular member-led webcasts, annual best practice conferences, annual member forums, membership performance surveys, and client-submitted content; and introduction of new gen AI content and vendor IP- centric offerings. It also provides benchmarking services that conduct studies for selling, general and administrative, finance, human resources, information technology, procurement, enterprise performance management, and shared services; operational assessments, process and organization design, change management, and application of technology. In addition, the company offers oracle solutions that help clients to choose and deploy oracle applications that meet needs and objectives; SAP solutions, including planning, architecture, and vendor evaluation and selection through implementation, customization, testing, and integration; post-implementation support, change and exception management, process transparency, system documentation, and end-user training; off-shore application development, and application maintenance and support services; and sells SAP suite of applications. The company was formerly known as Answerthink, Inc. and changed its name to The Hackett Group, Inc. in 2008. The Hackett Group, Inc. was founded in 1991 and is headquartered in Miami, Florida.",https://www.thehackettgroup.com
"Gartner, Inc.",IT,0.5,17.63B,NYQ,Information Technology Services,Technology,"Gartner, Inc. operates as a research and advisory company in the United States, Canada, Europe, the Middle East, Africa, and internationally. It operates through three segments: Research, Conferences, and Consulting. The Research segment delivers its research primarily through a subscription service that include on-demand access to published research content, data and benchmarks, and direct access to a network of research experts. The Conferences segment offers executives and teams in an organization the opportunity to learn, share, and network. The Consulting segment offers market-leading research, custom analysis, and on-the-ground support services. This segment also offers actionable solutions for IT-related priorities, including IT cost optimization, digital transformation, and IT sourcing optimization. Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut.",https://www.gartner.com
"Maximus, Inc.",MMS,0.47,4.85B,NYQ,Specialty Business Services,Industrials,"Maximus, Inc. operates as a provider of government services worldwide. The company operates through three segments: U.S. Federal Services, U.S. Services, and Outside the U.S. The U.S. Federal Services segment offers business process services, eligibility and enrollment, outreach, and other services for federal health and human services programs; clinical services; and technology solutions, such as application development and modernization services, enterprise business solutions, advanced analytics and emerging technologies, cybersecurity services, data management, and infrastructure and engineering solutions. The U.S. Services segment offers program eligibility support and enrollment; centralized multilingual customer contact centers, multichannel, and digital self-service options for enrollment; application assistance and independent health plan choice counseling; beneficiary outreach, education, eligibility, enrollment, and redeterminations; subsidized telephone services; and person-centered independent assessment services. This segment also provides employment services, such as eligibility support, case management, job-readiness preparation, job search and employer outreach, job retention and career advancement, and educational and training services; technology solutions; and system implementation project management services. The Outside the U.S. segment offers BPS and technology solutions for international governments, including health and disability assessments, program administration for employment services, wellbeing solutions and other job seeker-related services, digitally-enabled customer services, and technologies for modernization. Maximus, Inc. was founded in 1975 and is headquartered in McLean, Virginia.",https://www.maximus.com
"FTI Consulting, Inc.",FCN,0.47,5.28B,NYQ,Consulting Services,Industrials,"FTI Consulting, Inc. provides business advisory services to manage change, mitigate risk, and resolve disputes worldwide. The company operates through Corporate Finance & Restructuring; Forensic and Litigation Consulting; Economic Consulting; and Technology, and Strategic Communications segments. The Corporate Finance & Restructuring segment provides business transformation and strategy, transactions, and turnaround and restructuring services. The Forensic and Litigation Consulting segment offers construction and environmental solutions, data and analytics, disputes, health solutions, and risk and investigation services. The Economic Consulting segment provides antitrust and competition economics, financial economics, and international arbitration services. The Technology segment offers corporate legal department consulting; e-discovery and expertise; and information governance, privacy, and security services. The Strategic Communications segment provides corporate reputation, financial communications, and public affairs services. It serves aerospace and defense, airlines and aviation, blockchain and digital assets, chemicals, construction and environmental solutions, energy, financial services, food and agriculture, healthcare and life sciences, hospitality, gaming and leisure, automotive and industrial, insurance, mining, private equity, power, renewable and energy transition, professional services, public sector and government contracts, real estate, retail and consumer products, telecom, media and technology, and transportation and logistics sectors. The company was incorporated in 1982 and is headquartered in Washington, the District of Columbia.",https://www.fticonsulting.com
"CBIZ, Inc.",CBZ,0.46,2.65B,NYQ,Specialty Business Services,Industrials,"CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through Financial Services, Benefits and Insurance Services, and National Practices segments. The Financial Services segment offers accounting and tax, financial advisory, national technology, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Independence, Ohio.",https://www.cbiz.com
Accenture plc,ACN,0.46,155.71B,NYQ,Information Technology Services,Technology,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data, AI, cloud; and automation and global delivery services. The company also operates business processes for specific enterprise functions, including finance and accounting, sourcing and procurement, supply chain, marketing and sales, and human resources, as well as industry-specific services, such as platform trust and safety, banking, insurance, network and health services; and designs, manufactures, and assembles automation equipment, robotics, and other commercial hardware products. It serves communications, media, and technology; financial services; banking and capital markets, and insurance; health and public service; consumer goods, retail, travel services; industrial; life science; and chemicals, natural resources, energy, and utilities sectors. Accenture plc has collaboration with Amazon Web Services (AWS) to deliver transformative digital services to public sector, defense, and national security organizations. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",https://www.accenture.com
"ICF International, Inc.",ICFI,0.44,1.44B,NMS,Consulting Services,Industrials,"ICF International, Inc. provides management, technology, and policy consulting and implementation services to government and commercial clients in the United States and internationally. The company researches critical policy, industry, stakeholder issues, trends, and behaviors; measures and evaluates results and their impact; and provides strategic planning and advisory services to its clients on how to navigate societal, business, market, business, communication, and technology challenges. It also identifies, defines, and implements policies, plans, programs, and business tools through a range of standard and customized methodologies for its clients' business context; conducts survey research; collects and analyzes various data to understand critical issues and options for its clients; and provides actionable business intelligence, as well as information and data management solutions that allow integrated and purpose-driven data usage. In addition, the company provides solutions to optimize the customer and citizen experience; cyber security solutions that support the range of cyber security missions and protect IT infrastructures in the face of relentless threats; and modernizes IT systems, as well as designs, develops, and implements technology systems and business tools that are key to its clients' mission or business performance. Further, it informs and engages its clients' constituents, customers, and employees through public relations, branding and marketing, multichannel and strategic communications, and reputation issues management. The company serves energy, environment, infrastructure, and disaster recovery; health and social programs; and security and other civilian and commercial markets. The company was formerly known as ICF Consulting Group Holdings, LLC and changed its name to ICF International, Inc. in 2006. ICF International, Inc. was founded in 1969 and is headquartered in Reston, Virginia.",https://www.icf.com
"Exponent, Inc.",EXPO,0.39,3.65B,NMS,Engineering & Construction,Industrials,"Exponent, Inc., together with its subsidiaries, operates as a science and engineering consulting company in the United States and internationally. The company operates in two segments, Engineering and Other Scientific, and Environmental and Health. The company provides services in the areas of biomechanics, biomedical engineering and sciences, civil and structural engineering, construction consulting, data sciences, electrical engineering and computer science, human factors, materials and corrosion engineering, mechanical engineering, polymer science and materials chemistry, thermal sciences, and vehicle engineering. It also offers services in the areas of chemical regulation and food safety, ecological and biological sciences, environmental and earth sciences, and health sciences. In addition, the company provides proactive and reactive product safety, litigation support, and technical, regulatory services. It serves clients in chemical, construction, consumer products, energy, food, beverage and nutrition, government, life sciences, insurance, manufacturing, technology, industrial equipment, transportation, and other sectors. The company was formerly known as The Failure Group, Inc. and changed its name to Exponent, Inc. in 1998. The company was founded in 1967 and is headquartered in Menlo Park, California.",https://www.exponent.com
TechnipFMC plc,FTI,0.38,18.31B,NYQ,Oil & Gas Equipment & Services,Energy,"TechnipFMC plc engages in the energy projects, technologies, systems, and services businesses in Europe, Central Asia, North America, Latin America, the Asia Pacific, Africa, the Middle East, and internationally. It operates through two segments, Subsea and Surface Technologies. The Subsea segment engages in the design, engineering, procurement, manufacturing, fabrication, installation, and life of field services for subsea systems, subsea field infrastructure, and subsea pipeline systems used in oil and natural gas production and transportation. It provides subsea production and processing system; flexible pipe; subsea umbilicals, risers, and flowlines; vessels; robotics; well and asset services; and Subsea Studio for optimizing the development, execution, and operation of current and future subsea fields. The Surface Technologies segment designs, manufactures, and services products and systems used in land and shallow water exploration and production of oil and natural gas. This segment offers drilling; surface wellheads and production trees systems; iComplete, a pressure control system; fracturing tree systems, fracturing valve greasing systems, hydraulic or electric control units, service-less valves, fracturing manifold systems, and rigid and flexible flowlines; flexible pipes; safety and integrity systems, multiphase meter modules, in-line separation and processing systems, compact ball valves for manifolds, and standard pumps; well control and integrity systems; and skid solutions. It also offers planning, testing and installation, commissioning, operations, replacement and upgrade, maintenance, storage, preservation, intervention, integrity, decommissioning, and abandonment; and supplies flowline products and services. TechnipFMC plc was founded in 1884 and is headquartered in Houston, Texas.",https://www.technipfmc.com
Neo-Concept International Group Holdings Limited,NCI,0.36,4.75M,NCM,Apparel Manufacturing,Consumer Cyclical,"Neo-Concept International Group Holdings Limited provides one-stop apparel solutions in the United States, Canada, the United Kingdom, and internationally. The company offers a suite of services in the apparel supply chain, which includes market trend analysis, product design and development, raw material sourcing, production and quality control, and logistics management. It sells knitwear and apparel products under the les 100 ciels brand through digital and physical retail stores, as well as third-party online platforms. The company serves brand owners, apparel sourcing agents, and online fashion retailers. Neo-Concept International Group Holdings Limited was incorporated in 2021 and is based in Kwun Tong, Hong Kong. Neo-Concept International Group Holdings Limited operates as a subsidiary of Neo-Concept (BVI) Limited.",https://www.neo-ig.com
